"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-07-24","84.4","-1.7221","6.1042","Guaranteed Rate Fld",527049,625643,"home_run","hit_into_play_score",,,,,3,"Cesar Puello homers (4) on a fly ball to left field.   Harold Ramirez scores.  ","R","R","R","CWS","MIA","X","null","fly_ball",0,0,2019,"0.2678","0.2242","0.3426","3.0471","null","null",623912,1,8,"Top","24.21","78.56",,,543510,,"190725_021128","4.2559","-122.8651","-1.2132","1.8766","23.3637","-29.9191","3.5200","1.7100","432","105.5","31","84.1130","2138","5.9880",567311,625643,543510,547989,570560,660162,572365,445055,641553,544725,"54.5111","0.916","1.856","2.00",1,0,3,6,53,"1","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2019-07-23","82.6","-1.1478","6.3127","Guaranteed Rate Fld",623912,592229,"home_run","hit_into_play_score",,,,,8,"Harold Ramirez homers (5) on a fly ball to right center field.  ","R","R","R","CWS","MIA","X","null","fly_ball",0,1,2019,"0.2181","-0.5496","0.2646","1.4145","null","null","null",1,5,"Top","196.98","59.53",,,456078,,"190724_012033","2.7614","-120.2192","-3.6315","1.5756","21.1233","-36.9673","3.1548","1.5142","369","101.2","23","81.6230","2431","5.4080",567310,592229,456078,547989,570560,660162,572365,445055,641553,544725,"55.0912","0.653","1.023","2.00",1,0,3,6,31,"2","Curveball",0,4,4,0,4,0,4,0,"Standard","Standard"
"FT","2019-07-23","95.2","-1.0931","6.4489","Guaranteed Rate Fld",434158,592229,"home_run","hit_into_play_score",,,,,3,"Curtis Granderson homers (9) on a fly ball to right center field.    Starlin Castro scores.  ","R","L","R","CWS","MIA","X","null","fly_ball",0,1,2019,"-0.6553","1.2737","0.4545","2.9700","null",516770,"null",2,4,"Top","188.54","59.53",,,456078,,"190724_010850","5.4693","-138.4942","-6.3084","-9.4731","27.7627","-14.8384","3.3358","1.6691","375","98.3","37","94.9830","1984","5.9490",567310,592229,456078,547989,570560,660162,572365,445055,641553,544725,"54.5504","0.168","0.301","2.00",1,0,3,3,25,"2","2-Seam Fastball",0,2,2,0,2,0,2,0,"Infield shift","Standard"
"FF","2019-07-22","93.1","2.7853","5.3410","Guaranteed Rate Fld",572365,650671,"home_run","hit_into_play_score",,,,,12,"Ryan Goins homers (2) on a fly ball to right center field.  ","R","L","L","CWS","MIA","X","null","fly_ball",2,2,2019,"0.2383","1.3140","0.2415","3.5516","null","null","null",0,6,"Bot","173.13","41.52",,,595751,,"190723_015542","-7.0502","-135.5522","-1.7579","4.3264","26.4043","-15.7432","3.4200","1.5800","388","100.7","35","93.5400","2432","6.2750",567309,650671,595751,643265,516770,605119,592680,434158,527049,623912,"54.2246","0.421","0.813","2.00",1,0,3,5,46,"5","4-Seam Fastball",8,1,8,1,1,8,8,1,"Standard","Standard"
"FF","2019-07-22","92.7","2.9008","5.2515","Guaranteed Rate Fld",543510,650671,"home_run","hit_into_play_score",,,,,5,"James McCann homers (12) on a fly ball to right field.  ","R","R","L","CWS","MIA","X","null","fly_ball",1,1,2019,"0.6835","1.2264","0.2675","2.2914","null","null","null",0,6,"Bot","210.38","66.37",,,595751,,"190723_015311","-8.2091","-134.6330","-4.3918","10.1352","30.5289","-16.5589","3.3500","1.5300","370","102.4","27","92.4030","2340","6.3190",567309,650671,595751,643265,516770,605119,592680,434158,527049,623912,"54.1804","0.742","1.472","2.00",1,0,3,6,45,"3","4-Seam Fastball",7,1,7,1,1,7,7,1,"Standard","Standard"
"CH","2019-07-22","84.5","-1.5111","6.0422","Guaranteed Rate Fld",660162,670950,"home_run","hit_into_play_score",,,,,4,"Yoan Moncada homers (18) on a fly ball to center field.   Leury Garcia scores.    Jose Abreu scores.  ","R","L","R","CWS","MIA","X","null","fly_ball",1,0,2019,"-1.1746","1.0658","-0.6557","2.2973","null",544725,547989,2,5,"Bot","116.55","25.53",,,595751,,"190723_013859","4.4020","-123.0177","-4.5421","-12.9483","25.0472","-20.5139","3.3400","1.5300","410","101.7","28","85.1090","2324","6.7180",567309,670950,595751,643265,516770,605119,592680,434158,527049,623912,"53.7812","0.753","1.482","2.00",1,0,3,6,39,"2","Changeup",4,1,4,1,1,4,4,1,"Standard","Standard"
"CU","2019-07-22","77.1","-1.3983","6.0631","Guaranteed Rate Fld",547989,670950,"home_run","hit_into_play_score",,,,,3,"Jose Abreu homers (22) on a fly ball to center field.   Jon Jay scores.  ","R","R","R","CWS","MIA","X","null","fly_ball",0,1,2019,"0.4001","-0.8791","0.3692","2.8807","null",445055,"null",1,3,"Bot","157.17","31.83",,,595751,,"190723_005823","3.0317","-112.2196","1.8069","2.8083","20.6864","-40.1278","3.3400","1.5300","401","105.5","30","77.0550","2282","6.2860",567309,670950,595751,643265,516770,605119,592680,434158,527049,623912,"54.2135","0.926","1.884","2.00",1,0,3,6,22,"2","Curveball",2,1,2,1,1,2,2,1,"Standard","Standard"
"FF","2019-07-22","92.2","-2.5061","6.3124","Guaranteed Rate Fld",595751,467100,"home_run","hit_into_play_score",,,,,4,"Jorge Alfaro homers (11) on a fly ball to right center field.  ","R","R","R","CWS","MIA","X","null","fly_ball",2,1,2019,"-1.3714","0.9111","-0.2970","2.5433","null","null","null",2,2,"Top","187.20","39.45",,,543510,,"190723_003351","8.4566","-133.9531","-5.6876","-17.9980","25.7607","-20.4165","3.4300","1.5900","403","107.9","23","91.7850","2164","5.8830",567309,467100,543510,547989,570560,660162,572365,445055,641553,544725,"54.6165","0.971","1.850","2.00",1,0,3,6,12,"4","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2019-07-07","95.0","2.1455","5.8507","Guaranteed Rate Fld",596825,607481,"home_run","hit_into_play_score",,,,,2,"Robel Garcia homers (2) on a fly ball to left field.  ","R","R","L","CWS","CHC","X","null","fly_ball",2,0,2019,"0.6898","0.4943","0.1568","3.1595","null","null","null",1,7,"Top","25.28","64.51",,,543510,,"190707_202514","-6.7575","-138.4337","-2.6188","10.1984","24.8517","-25.4395","3.4670","1.5890","394","101.0","32","95.9300","2078","6.3140",567308,607481,543510,547989,570560,660162,544725,650391,605508,445055,"54.1850","0.563","1.149","2.00",1,0,3,6,52,"3","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2019-07-07","93.3","-2.8127","5.9572","Guaranteed Rate Fld",547989,542960,"home_run","hit_into_play_score",,,,,6,"Jose Abreu homers (21) on a fly ball to right field.  ","R","R","R","CWS","CHC","X","null","fly_ball",3,2,2019,"-0.8120","1.2601","0.6970","2.6326","null","null","null",2,5,"Bot","213.09","58.87",,,605170,,"190707_195306","10.6625","-135.4860","-5.5151","-11.9008","24.8888","-15.9332","3.3300","1.5300","388","103.5","31","92.9710","2181","5.8550",567308,542960,605170,519203,596825,592178,595879,656941,546991,518792,"54.6448","0.779","1.468","2.00",1,0,3,6,40,"8","4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Standard"
"SI","2019-07-07","85.6","-1.9519","6.0552","Guaranteed Rate Fld",650391,543294,"home_run","hit_into_play_score",,,,,5,"Eloy Jimenez homers (16) on a fly ball to center field.   Jon Jay scores.  ","R","R","R","CWS","CHC","X","null","fly_ball",3,2,2019,"-1.0610","0.7698","0.2506","2.4249","null","null",445055,0,4,"Bot","129.69","15.03",,,605170,,"190707_193041","7.2406","-124.4792","-3.8790","-12.2089","20.8282","-23.7430","3.4700","1.6400","439","108.7","24","85.5450","1821","5.9210",567308,543294,605170,519203,596825,592178,595879,656941,546991,518792,"54.5787","0.987","1.950","2.00",1,0,3,6,31,"6","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2019-07-04","90.5","2.9630","6.3109","Guaranteed Rate Fld",600869,592612,"home_run","hit_into_play_score",,,,,8,"Jeimer Candelario homers (4) on a line drive to left field.  ","R","R","L","CWS","DET","X","null","line_drive",3,2,2019,"0.0231","0.8207","0.2147","2.1461","null","null","null",0,9,"Top","42.32","61.47",,,543510,,"190704_212214","-6.8236","-131.6326","-6.1609","1.5223","24.2509","-21.8402","3.4900","1.7000","379","109.0","20","89.9700","2280","5.6950",567306,592612,543510,594953,602922,660162,544725,650391,641477,605508,"54.8046","0.913","1.514","2.00",1,0,3,6,77,"9","Cutter",5,10,10,5,10,5,10,5,"Standard","Standard"
"SL","2019-07-04","83.7","-1.9408","6.0767","Guaranteed Rate Fld",408234,573668,"home_run","hit_into_play_score",,,,,2,"Miguel Cabrera homers (5) on a fly ball to center field.  ","R","R","R","CWS","DET","X","null","fly_ball",0,1,2019,"0.4880","0.2728","0.2271","2.9443","null","null","null",0,7,"Top","92.55","9.20",,,543510,,"190704_202814","4.0367","-121.9656","-1.4951","4.2814","18.2471","-29.3986","3.4700","1.7100","453","106.0","26","84.0930","null","5.9440",567306,573668,543510,594953,602922,660162,544725,650391,641477,605508,"54.5557","0.950","1.865","2.00",1,0,3,6,57,"2","Slider",4,8,8,4,8,4,8,4,"Standard","Standard"
