"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2019-07-21","86.1","-2.0997","6.1239","Wrigley Field",642336,543294,"home_run","hit_into_play_score",,,,,4,"Francisco Mejia homers (4) on a line drive to right center field.  ","R","L","R","CHC","SD","X","null","line_drive",3,2,2019,"-0.9715","0.8487","-0.5535","2.5700","null","null","null",0,7,"Top","194.90","52.92",,,455117,,"190721_203054","5.5701","-125.2877","-3.9647","-11.1500","21.0536","-22.7805","3.2692","1.6097","381","102.6","21","86.1580","1926","5.9540",565177,543294,455117,519203,596825,592178,595879,656941,546991,518792,"54.5453","0.708","0.994","2.00",1,0,3,6,46,"6","Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard"
"CH","2019-07-20","86.4","2.7001","5.9973","Wrigley Field",592669,500779,"home_run","hit_into_play_score",,,,,3,"Hunter Renfroe homers (28) on a fly ball to center field.  ","R","R","L","CHC","SD","X","null","fly_ball",0,0,2019,"0.4297","0.9951","0.5835","3.2034","null","null","null",1,5,"Top","149.54","18.83",,,605170,,"190720_201155","-5.8925","-125.7500","-2.5230","5.6006","21.9112","-21.3369","3.6116","1.7422","428","107.1","23","86.6900","1445","6.1500",565176,500779,605170,519203,608365,623520,595879,596825,546991,592178,"54.3490","0.958","1.806","2.00",1,0,3,6,43,"1","Changeup",6,4,4,6,4,6,4,6,"Strategic","Standard"
"SI","2019-07-20","90.3","2.0974","6.3223","Wrigley Field",595879,664192,"home_run","hit_into_play_score",,,,,8,"Javier Baez homers (24) on a fly ball to left center field.   David Bote scores.    Albert Almora scores.  ","R","R","L","CHC","SD","X","null","fly_ball",1,0,2019,"0.8882","1.0764","0.0027","2.2138","null",623520,546991,2,4,"Bot","59.04","37.16",,,595978,,"190720_200413","-7.0943","-131.2811","-6.6136","11.6692","24.4753","-18.5929","3.5882","1.7422","412","101.7","26","90.6970","2161","6.3150",565176,664192,595978,543333,649966,592518,665487,592669,622534,614177,"54.1847","0.784","1.424","2.00",1,0,3,6,40,"2","Sinker",3,4,3,4,4,3,3,4,"Standard","Strategic"
"CH","2019-07-20","88.1","2.7608","5.9468","Wrigley Field",592518,500779,"home_run","hit_into_play_score",,,,,14,"Manny Machado homers (25) on a fly ball to right center field.    Manuel Margot scores.  ","R","R","L","CHC","SD","X","null","fly_ball",2,1,2019,"0.6192","1.1489","0.9439","2.7220","null",622534,"null",0,3,"Top","186.14","37.43",,,605170,,"190720_192211","-5.7228","-128.1595","-4.1502","8.0219","25.9143","-18.8014","3.7280","1.9056","406","101.3","23","88.4630","1372","6.4840",565176,500779,605170,519203,608365,623520,595879,596825,546991,592178,"54.0151","0.653","1.023","2.00",1,0,3,6,22,"4","Changeup",2,1,1,2,1,2,1,2,"Standard","Standard"
"SI","2019-07-20","92.1","2.5807","6.0140","Wrigley Field",665487,500779,"home_run","hit_into_play_score",,,,,6,"Fernando Tatis homers (16) on a fly ball to center field.  ","R","R","L","CHC","SD","X","null","fly_ball",2,1,2019,"1.0626","1.1140","0.5754","2.4942","null","null","null",0,3,"Top","166.70","3.95",,,605170,,"190720_191823","-7.3568","-133.9226","-5.5046","14.2612","27.5462","-17.8899","3.6813","1.7887","468","108.4","25","92.0110","2045","6.1690",565176,500779,605170,519203,608365,623520,595879,596825,546991,592178,"54.3300","0.982","1.970","2.00",1,0,3,6,20,"4","Sinker",2,0,0,2,0,2,0,2,"Standard","Standard"
"FT","2019-07-19","93.8","-1.0328","6.2324","Wrigley Field",647304,467008,"home_run","hit_into_play_score",,,,,5,"Josh Naylor homers (3) on a line drive to center field.  ","R","L","R","CHC","SD","X","null","line_drive",0,0,2019,"-0.9721","0.7930","-0.1359","2.7051","null","null","null",0,8,"Top","144.16","9.23",,,455117,,"190719_205837","4.4542","-136.5258","-5.2008","-13.0855","26.5369","-21.3884","3.4896","1.8069","448","109.4","18","94.2120","2358","6.2560",565175,467008,455117,519203,608365,623520,595879,592178,546991,518792,"54.2430","0.776","1.119","2.00",1,0,3,6,64,"1","2-Seam Fastball",5,4,4,5,4,5,4,5,"Infield shift","Standard"
"CU","2019-07-19","75.0","2.4504","6.1059","Wrigley Field",595879,641778,"home_run","hit_into_play_score",,,,,14,"Javier Baez homers (23) on a fly ball to right center field.  ","R","R","L","CHC","SD","X","null","fly_ball",1,0,2019,"-0.5880","-0.3990","0.0667","1.4567","null","null","null",1,5,"Bot","189.69","41.08",,,642336,,"190719_200835","-3.8584","-109.0715","-1.7500","-3.8729","18.9828","-35.2141","3.4223","1.6473","401","107.0","38","73.7950","2399","5.3970",565175,641778,642336,543333,435079,592518,665487,592669,622534,614177,"55.1027","0.626","1.284","2.00",1,0,3,6,46,"2","Curveball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2019-07-19","92.0","2.3102","6.1022","Wrigley Field",519203,641778,"home_run","hit_into_play_score",,,,,5,"Anthony Rizzo hits a grand slam (20) to left center field.   Albert Almora scores.    Javier Baez scores.    Kris Bryant scores.  ","R","L","L","CHC","SD","X","null","fly_ball",0,1,2019,"0.5635","1.3807","-0.2259","2.6181",546991,595879,592178,2,3,"Bot","59.03","58.97",,,642336,,"190719_192339","-7.5832","-133.7250","-5.9526","8.1917","25.8011","-14.7486","3.4799","1.6900","366","98.6","34","91.7980","2254","5.9950",565175,641778,642336,543333,435079,592518,665487,592669,622534,614177,"54.5045","0.321","0.577","2.00",1,0,3,5,29,"2","4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shift","Standard"
"FC","2019-07-19","88.2","2.6514","5.6985","Wrigley Field",592518,452657,"home_run","hit_into_play_score",,,,,13,"Manny Machado homers (24) on a fly ball to left center field.   Manuel Margot scores.  ","R","R","L","CHC","SD","X","null","fly_ball",0,0,2019,"-0.0419","1.0042","-0.9035","2.4459","null","null",622534,0,3,"Top","65.52","46.42",,,455117,,"190719_190033","-8.5656","-128.3058","-3.9815","1.0577","22.8565","-20.4375","3.5090","1.7702","387","93.3","30","88.8010","2372","6.3700",565175,452657,455117,519203,608365,623520,595879,592178,546991,518792,"54.1292","0.150","0.255","2.00",1,0,3,3,19,"1","Cutter",0,1,1,0,1,0,1,0,"Standard","Standard"
"CU","2019-07-17","82.4","-0.7809","5.8205","Wrigley Field",608365,543243,"home_run","hit_into_play_score",,,,,5,"Addison Russell homers (6) on a fly ball to left field.  ","R","R","R","CHC","CIN","X","null","fly_ball",1,1,2019,"1.0674","-0.9901","-0.1588","2.1662","null","null","null",2,2,"Bot","38.45","58.43",,,492802,,"190717_185519","-0.6305","-120.0526","0.0763","10.3478","22.4435","-41.9012","3.3710","1.5350","389","101.8","22","82.2260","2763","6.0270",565174,543243,492802,458015,571697,553993,578428,518618,669222,624577,"54.4723","0.682","0.940","2.00",1,0,3,6,14,"3","Curveball",1,0,1,0,0,1,1,0,"Standard","Standard"
