"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"35",592885,"Christian Yelich","1593","2.2","1.000","3.000","null","4.000","1.993","1.472","0.763","35","35","105.8","28.7","2272","88.5","88.46","0","35","0","0.0","6.15","117","151","121","150","296","320","304"
"34",641355,"Cody Bellinger","1738","2.0","1.000","3.000","null","4.000","1.993","1.464","0.772","34","34","104.3","27.7","2210","87.7","87.48","0","34","0","-0.2","5.95","115","155","130","157","303","327","308"
"33",545361,"Mike Trout","1776","1.9","1.000","3.000","null","4.000","1.993","1.682","0.862","33","33","107.8","27.9","2185","88.3","87.75","0","33","0","-0.5","5.97","104","151","121","144","309","328","302"
"33",624413,"Pete Alonso","1727","1.9","1.000","3.000","null","4.000","1.993","1.555","0.818","33","33","108.4","28.2","2220","89.6","89.05","0","33","0","-0.6","6.01","105","152","118","146","305","329","305"
"30",429665,"Edwin Encarnacion","1828","1.6","1.000","3.000","null","4.000","1.993","1.443","0.781","30","30","105.7","26.2","2169","89.1","89.14","0","30","0","0.0","6.18","108","154","121","147","303","323","294"
"28",592669,"Hunter Renfroe","1331","2.1","1.000","3.000","null","4.000","1.993","1.340","0.708","28","28","105.2","28.4","2295","89.8","89.52","0","28","0","-0.3","5.98","106","151","118","144","306","335","305"
"27",553993,"Eugenio Suarez","1745","1.5","1.000","3.000","null","4.000","1.993","1.313","0.679","27","27","102.1","29.5","2177","90.1","90.02","0","27","0","-0.1","6.11","104","151","116","145","303","323","295"
"27",605137,"Josh Bell","1711","1.6","1.000","3.000","null","4.000","1.993","1.507","0.791","27","27","106.5","26.8","2192","88.8","88.59","0","27","0","-0.2","6.07","116","151","118","150","298","325","301"
"27",624585,"Jorge Soler","1707","1.6","1.000","3.000","null","4.000","1.993","1.550","0.785","27","27","106.5","29.6","2286","89.1","88.67","0","27","0","-0.4","5.87","107","154","120","146","304","330","304"
"26",608324,"Alex Bregman","1910","1.4","1.000","3.000","null","4.000","1.993","0.954","0.529","26","26","100.3","29.6","2244","90.2","89.96","0","26","0","-0.2","6.14","107","153","118","147","301","326","295"
"26",519058,"Mike Moustakas","1582","1.6","1.000","3.000","null","4.000","1.993","1.411","0.745","26","26","104.2","28.5","2205","88.3","87.82","0","26","0","-0.5","5.96","113","157","127","148","298","325","303"
